apogee_id,glon,glat,snr,vhelio_avg,vscatter,teff,logg,m_h,alpha_m
2M10561203+4424502,168.50105,61.18153,65.33259,-3.265067,0.02957923,5096.039,3.755911,0.29659,0.039324
2M10561203+4424502,168.50105,61.18153,65.33259,-3.265067,0.02957923,5096.039,3.755911,0.29659,0.039324
2M10561203+4424502,168.50105,61.18153,65.33259,-3.265067,0.02957923,5096.039,3.755911,0.29659,0.039324
2M10561348+1618593,229.02931,61.23168,765.4694,-51.80967,1.436858,4878.862,3.188904,-0.31916,0.228325
2M10561348+1618593,229.02931,61.23168,765.4694,-51.80967,1.436858,4878.862,3.188904,-0.31916,0.228325
2M10561348+1618593,229.02931,61.23168,765.4694,-51.80967,1.436858,4878.862,3.188904,-0.31916,0.228325
2M10530424+1539105,229.52343,60.25366,244.6079,-3.636303,0.05617528,4856.794,4.568793,0.087704,0.0138023
2M10530424+1539105,229.52343,60.25366,244.6079,-3.636303,0.05617528,4856.794,4.568793,0.087704,0.0138023
2M12193132+2552453,221.05574,82.75251,269.264,-28.5077,0.8928829,5074.697,4.577364,-0.2041,0.1847253
2M12193240+2554064,220.88712,82.76099,113.3029,-24.15277,0.09763847,4607.945,4.574398,0.031088,-0.0162237
2M12193695+2516389,225.68673,82.62754,70.24801,-12.67573,0.1913045,4136.665,4.631337,-0.20242,-0.0201387
2M12194540+2526097,224.55864,82.7011,76.43622,7.488875,0.0381994,4889.39,4.580868,-0.25502,0.0762563
2M12195168+2552191,221.23658,82.82575,63.58151,14.9975,0.06935441,4876.195,4.509648,-0.059065,0.0775363
2M12200119+2633419,215.77222,82.97023,108.6164,-13.56553,0.5760664,3406.631,4.700945,-9999,-9999
2M12200367+2603381,219.81599,82.90619,93.41708,21.38023,6.793794,-9999,-9999,-9999,-9999
2M12201000+2611509,218.75333,82.95299,512.3239,21.3783,0.08688917,5746.504,4.460049,-0.34813,0.0601763
2M12201777+2606363,219.49606,82.9669,96.33755,48.82729,0.2513148,4458.039,4.612193,-0.46926,0.1071253
2M12201961+1421366,271.78646,75.31646,88.18325,-4.923973,0.2409924,3956.248,4.633251,-0.21049,-0.0149457
2M12201961+1421366,271.78646,75.31646,88.18325,-4.923973,0.2409924,3956.248,4.633251,-0.21049,-0.0149457
2M12201993+2522089,225.34513,82.80848,96.00076,26.63357,0.1175508,4585.982,4.600147,-0.14312,0.0877973
2M12202126+1302080,274.11179,74.14167,478.7134,33.25816,0.0828181,4755.283,3.314124,0.247,0.053602
2M12202357+2602467,220.04061,82.97684,217.4654,25.82796,0.07306892,5691.988,4.016068,0.18106,-0.0178597
2M12202604+2549145,221.85932,82.94097,25.96364,15.49349,1.707349,3817.351,4.579821,-0.38221,-0.1111947
2M12203489+2648382,213.82252,83.11856,117.6776,-19.32841,0.1815159,3339.352,4.803432,-9999,-9999
2M12203566+4046355,145.95657,74.94322,109.2255,-12.12945,0.2758811,3736.027,4.655737,0.032091,-0.0534837
2M12203566+4046355,145.95657,74.94322,109.2255,-12.12945,0.2758811,3736.027,4.655737,0.032091,-0.0534837
2M12204175+1423367,272.03529,75.38816,111.8692,-31.89157,0.05642543,4777.501,4.599427,-0.19813,0.0614373
2M12204175+1423367,272.03529,75.38816,111.8692,-31.89157,0.05642543,4777.501,4.599427,-0.19813,0.0614373
2M12204510+1335396,273.50832,74.68508,117.7937,1.878637,0.6812396,4034.28,4.63538,-0.402,-0.0244017
2M12204510+1335396,273.50832,74.68508,117.7937,1.878637,0.6812396,4034.28,4.63538,-0.402,-0.0244017
2M12204557+2545572,222.42752,83.00045,930.0564,-0.3796192,0.099914,5998.967,4.339571,0.05172,-0.0461027
2M12204573+1423224,272.09892,75.39222,105.7129,-39.47244,0.1232321,3684.208,4.65606,-0.06456,-0.0439447
2M12204573+1423224,272.09892,75.39222,105.7129,-39.47244,0.1232321,3684.208,4.65606,-0.06456,-0.0439447
2M12205295+2520582,225.77377,82.92255,260.6612,-13.97198,0.02546277,4531.649,4.561088,0.14808,-0.0181867
2M12210207+2645374,214.31159,83.2153,104.6178,-20.83304,0.2006153,3628.682,4.69291,-0.50725,-0.0193577
2M12211197+2704339,211.65225,83.27127,192.7926,-31.04534,18.10265,4273.306,4.673872,-0.75956,0.0670373
2M12191702+3955058,148.43639,75.57656,94.23618,-2.258855,0.07393122,5029.553,4.535961,0.038522,0.0249933
2M12191702+3955058,148.43639,75.57656,94.23618,-2.258855,0.07393122,5029.553,4.535961,0.038522,0.0249933
2M12193032+1416328,271.25955,75.14712,157.0692,26.75812,0.05901317,4648.049,4.607187,-0.26721,0.0442243
2M12193032+1416328,271.25955,75.14712,157.0692,26.75812,0.05901317,4648.049,4.607187,-0.26721,0.0442243
2M12201961+1421366,271.78646,75.31646,105.3,-4.905452,0.08599349,4030.231,4.643082,-0.2241,-0.0304227
2M12201961+1421366,271.78646,75.31646,105.3,-4.905452,0.08599349,4030.231,4.643082,-0.2241,-0.0304227
2M12202767+1439484,271.32204,75.59831,152.3259,20.22373,0.03531042,4591.205,4.553374,-0.35804,0.0254803
2M12202767+1439484,271.32204,75.59831,152.3259,20.22373,0.03531042,4591.205,4.553374,-0.35804,0.0254803
2M12204175+1423367,272.03529,75.38816,105.7303,-31.99909,0.04166614,4793.91,4.596877,-0.20817,0.0677283
2M12204175+1423367,272.03529,75.38816,105.7303,-31.99909,0.04166614,4793.91,4.596877,-0.20817,0.0677283
2M12205198+1354422,273.0532,74.9806,50.78333,17.95384,0.1786938,4524.324,4.550584,-0.43721,0.0177173
2M12205198+1354422,273.0532,74.9806,50.78333,17.95384,0.1786938,4524.324,4.550584,-0.43721,0.0177173
2M12211694+1358233,273.29305,75.08123,69.95382,7.613615,1.552603,3960.373,4.63911,0.099296,-0.0481047
2M12211694+1358233,273.29305,75.08123,69.95382,7.613615,1.552603,3960.373,4.63911,0.099296,-0.0481047
2M12212092+1322507,274.35617,74.55807,62.56241,-4.956665,0.07993945,4442.154,4.559188,0.13832,-0.0441327
2M12212092+1322507,274.35617,74.55807,62.56241,-4.956665,0.07993945,4442.154,4.559188,0.13832,-0.0441327
2M12212109+2545100,222.78266,83.12732,42.99052,1.314389,0.7994797,3617.006,4.652462,-9999,-9999
2M12212198+2643586,214.59879,83.28673,152.7727,-11.16758,0.08075503,4850.419,4.576083,0.090323,0.0005854
2M12212223+2555498,221.33571,83.16993,296.9614,-1.109683,0.01562664,5943.94,4.314431,-0.0055332,-0.0140387
2M12212720+2542398,223.16648,83.14,86.86695,15.31065,30.37734,-9999,-9999,-9999,-9999
2M12212900+1315237,274.66886,74.46052,95.9174,-12.87153,0.1689408,5024.169,4.49773,-0.279,0.1359253
2M12212900+1315237,274.66886,74.46052,95.9174,-12.87153,0.1689408,5024.169,4.49773,-0.279,0.1359253
2M12212950+4054517,145.13522,74.89708,86.61963,42.71603,0.1006001,5176.366,3.774567,-0.72507,0.182885
2M12212950+4054517,145.13522,74.89708,86.61963,42.71603,0.1006001,5176.366,3.774567,-0.72507,0.182885
2M12213178+2517316,226.56578,83.04632,105.1324,15.97981,0.3441554,3681.601,4.646774,-0.27491,-0.0269487
2M12213503+2601250,220.64473,83.23536,104.4123,-1.900003,0.1528361,4810.695,4.567867,0.093836,0.0096007
2M12213538+5550421,131.52265,60.78271,106.8492,-17.86038,0.1126826,5249.078,4.480984,0.14165,0.0074443
2M12213538+5550421,131.52265,60.78271,106.8492,-17.86038,0.1126826,5249.078,4.480984,0.14165,0.0074443
2M12213899+1503376,271.57102,76.08451,399.2291,34.2588,6.223973,5010.942,3.145539,-0.75452,0.288355
2M12213899+1503376,271.57102,76.08451,399.2291,34.2588,6.223973,5010.942,3.145539,-0.75452,0.288355
2M12214075+1437548,272.4291,75.71033,103.8242,20.08767,0.1038147,4862.36,4.588756,-0.24751,0.1817853
2M12214075+1437548,272.4291,75.71033,103.8242,20.08767,0.1038147,4862.36,4.588756,-0.24751,0.1817853
2M12214276+2712269,210.54869,83.38907,198.9234,8.307835,1.551288,4292.268,4.650589,-0.51951,0.1009523
2M12214589+2556155,221.42993,83.25819,57.80125,-7.918379,0.1972201,4341.03,4.577218,-0.15901,-0.0337837
2M12215174+2647068,214.23032,83.40148,97.74348,49.78168,0.1771199,6210.335,4.110568,-0.4717,0.2127053
2M12215285+1422296,273.08097,75.50496,85.10106,0.6770838,0.06728459,4155.374,4.610581,-0.047473,-0.0281347
2M12215285+1422296,273.08097,75.50496,85.10106,0.6770838,0.06728459,4155.374,4.610581,-0.047473,-0.0281347
2M12215364+2542380,223.36804,83.23634,54.50189,-10.66402,0.04084524,5945.712,4.196096,-0.23513,-0.0019068
2M12215458+2559411,221.00768,83.30155,69.45023,27.49048,0.1043512,5376.238,4.482219,-0.043433,0.0288273
2M12215507+2508012,228.03652,83.08195,165.9701,5.644827,0.3564277,5991.917,3.834787,-0.5781,0.2421653
2M12215549+2623330,217.63336,83.37197,125.7981,-26.82731,0.01785583,5142.377,4.554702,-0.20503,0.0587503
2M12215701+2607156,219.95687,83.33427,290.4793,40.15747,0.05503551,5615.038,3.960543,-0.13962,0.0342023
2M12215704+2458212,229.31709,83.03654,265.6666,-21.68541,0.1973792,5128.148,3.989488,-0.16002,0.119987
2M12215704+2516032,226.99372,83.13004,141.5865,25.65164,0.08998023,4960.461,3.674181,-0.39579,0.254055
2M12220108+2539102,223.90155,83.24949,65.29463,-0.1020095,14.07201,-9999,-9999,-9999,-9999
2M12220242+2715088,210.16483,83.46252,89.26015,41.55533,0.1401285,4853.232,4.557862,-0.040311,0.0101597
2M12220285+1309421,275.28334,74.43364,116.9388,-7.842299,0.02397221,4957.227,3.712402,-0.079579,0.170205
2M12220448+2610174,219.5699,83.37067,109.4164,11.96772,0.3170683,3952.055,4.658209,-0.18428,-0.0282117
2M12220890+2725411,208.61872,83.48595,297.5215,17.40745,0.05768524,4654.279,4.600397,-0.057917,0.0099863
2M12221055+1259376,275.65097,74.29452,76.07372,56.17103,8.322216,4824.319,4.410124,-0.70399,0.0745793
2M12221086+1418193,273.46565,75.4761,445.3744,-9.265011,0.07920666,4639.431,4.601292,-0.10687,0.0127934
2M12221086+1418193,273.46565,75.4761,445.3744,-9.265011,0.07920666,4639.431,4.601292,-0.10687,0.0127934
2M12221956+1315233,275.3627,74.54821,98.06129,2.943966,0.2752701,3795.522,4.642029,-0.04815,-0.0434877
2M12221956+1315233,275.3627,74.54821,98.06129,2.943966,0.2752701,3795.522,4.642029,-0.04815,-0.0434877
2M12222316+2527434,225.65639,83.27996,12.86305,-18.43661,15.57266,3929.657,4.627588,-0.66751,-0.0506977
2M12222875+1323289,275.27434,74.68617,72.99577,-59.78289,1.620923,4825.661,4.563686,-0.21952,0.0085377
2M12222875+1323289,275.27434,74.68617,72.99577,-59.78289,1.620923,4825.661,4.563686,-0.21952,0.0085377
2M12222964+2451572,230.50031,83.11535,89.96526,36.96459,0,5171.466,4.559067,-0.51368,0.1618953
2M12223062+2700041,212.41501,83.55966,100.133,14.2318,10.28266,-9999,-9999,-9999,-9999
2M12223138+2549424,222.66296,83.40132,1291.294,0.8690374,0.5534747,-9999,-9999,-9999,-9999
2M12223217+2716552,209.91068,83.57293,49.52128,25.96483,6.049552,4921.795,4.664619,-0.7471,-0.2046247
2M12223254+1346327,274.6959,75.03996,82.92915,8.580192,0.2172153,3592.871,4.650762,-9999,-9999
2M12223254+1346327,274.6959,75.03996,82.92915,8.580192,0.2172153,3592.871,4.650762,-9999,-9999
2M12223349+1427100,273.52548,75.64885,147.7344,-17.46949,0.1023888,4112.639,4.613875,-0.13007,-0.0724037
2M12223349+1427100,273.52548,75.64885,147.7344,-17.46949,0.1023888,4112.639,4.613875,-0.13007,-0.0724037
